book_id,title,author,isbn,subject_area,genre,mood,tags,summary,publication_year,edition,language,page_count,rating
1,Midnight's Children,Salman Rushdie,9789324159205,Fiction/Stories,Magical Realism,Thought-provoking | Mysterious,magical realism;fiction;novel;leisure-reading;story,"In prose that lingers, Salman Rushdie follows individuals confronting change in a world that refuses to stay still. Written in the tradition of magical realism, ""Midnight's Children"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",1981,Reprint Edition,English,130,4.7
2,The God of Small Things,Arundhati Roy,9789391980573,Fiction/Stories,Literary Fiction,Historical | Dark,literary fiction;fiction;novel;leisure-reading;story,"Spanning years and relationships, this literary fiction traces a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of literary fiction, ""The God of Small Things"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1997,Special Edition,English,512,4.9
3,A Suitable Boy,Vikram Seth,9780784776377,Fiction/Stories,Literary Fiction,Romantic | Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a cast of characters whose fates intertwine in unexpected ways. Written in the tradition of literary fiction, ""A Suitable Boy"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",1993,1st Edition,English,545,3.9
4,A Fine Balance,Rohinton Mistry,9781890423414,Fiction/Stories,Literary Fiction,Thrilling | Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this literary fiction follows characters whose choices ripple across family, community, and circumstance. Written in the tradition of literary fiction, ""A Fine Balance"" explores themes of identity, belonging, and the choices that define a life. Its blend of atmosphere and character work has made it an enduring favourite for library borrowers.",1995,Special Edition,English,572,4.3
5,The Inheritance of Loss,Kiran Desai,9781352080575,Fiction/Stories,Literary Fiction,Dark,literary fiction;fiction;novel;leisure-reading;story,"This literary fiction follows a journey that tests conviction as much as courage. Written in the tradition of literary fiction, ""The Inheritance of Loss"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2006,Special Edition,English,295,3.6
6,Em and the Big Hoom,Jerry Pinto,9789359104898,Fiction/Stories,Literary Fiction,Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this literary fiction follows individuals confronting change in a world that refuses to stay still. Written in the tradition of literary fiction, ""Em and the Big Hoom"" explores themes of identity, belonging, and the choices that define a life. The novel balances emotional depth with narrative pace, making it a perennial favourite among Indian readers.",2012,Special Edition,English,511,3.4
7,The Namesake,Jhumpa Lahiri,9789339415372,Fiction/Stories,Literary Fiction,Fast-paced | Hopeful,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The Namesake"" explores themes of identity, belonging, and the choices that define a life. The book's accessible style and emotional honesty have made it a staple recommendation for readers of all ages.",2003,Reprint Edition,English,265,3.4
8,Interpreter of Maladies,Jhumpa Lahiri,9780989480857,Fiction/Stories,Short Stories,Magical | Educational,short stories;fiction;novel;leisure-reading;story,"Set against a richly drawn backdrop, this short stories follows lives shaped by history, tradition, and the quiet pressure of expectation. Written in the tradition of short stories, ""Interpreter of Maladies"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1999,Paperback Edition,English,563,4.3
9,The Lowland,Jhumpa Lahiri,9781635232288,Fiction/Stories,Literary Fiction,Funny | Fast-paced,literary fiction;fiction;novel;leisure-reading;story,"A memorable entry in literary fiction, the story follows a central figure caught between duty and desire. Written in the tradition of literary fiction, ""The Lowland"" explores themes of identity, belonging, and the choices that define a life. The result is a story that lingers well beyond its final page, popular among readers who return to it again and again.",2013,1st Edition,English,309,4.7
10,Train to Pakistan,Khushwant Singh,9781789536058,Fiction/Stories,Historical Fiction,Relaxing | Hopeful,historical fiction;fiction;novel;leisure-reading;story;history,"This historical fiction follows a protagonist forced to navigate love, loyalty, and the weight of the past. Written in the tradition of historical fiction, ""Train to Pakistan"" explores themes of identity, belonging, and the choices that define a life. It has earned a lasting place among readers who value a story that is both moving and memorable.",1956,1st Edition,English,291,3.9
